gene_id	gene_short_name	60h_WT_rep1	60h_WT_rep2	60h_WT_rep3	66h_WT_rep1	66h_WT_rep2	66h_WT_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000057777	Mab21l2	36.7736582392702	114.761884227692	75.5476808648162	161.818808599638	326.93149087992	359.023294409085	179.14280287007	1.78469399326189	0.237269346058919	7.52180601036731	5.4024704195924e-14	1.22616433177767e-11
ENSMUSG00000029646	Cdx2	95.9312823633137	165.866785797836	105.992268676011	429.171622807736	371.050273386207	408.480584965438	262.748802999424	1.6160433002125	0.217800673397244	7.41982692250457	1.17273483144055e-13	2.4812286272665e-11
ENSMUSG00000051851	Rtl8c	338.957197683708	420.494716428028	338.273197902162	785.642041751866	727.394285936985	791.316648901656	567.013014767401	1.00607786417007	0.135968372142432	7.39935213106887	1.36850515464677e-13	2.80049997466486e-11
ENSMUSG00000035934	Pknox2	28.7793847089941	41.2425521443269	27.061855832173	160.646208537322	154.981364188751	208.819671237937	103.588506108251	2.28638259908176	0.312501126284113	7.31639794796474	2.54715566315803e-13	5.12841034567769e-11
ENSMUSG00000047751	Utf1	2985.86116355814	1278.51911647413	2319.42656028249	966.222451348563	613.137951754037	554.104829381368	1452.87867879979	-1.34901821680834	0.185880067844117	-7.25746570062398	3.94409951684833e-13	7.57449142597196e-11
ENSMUSG00000009900	Wnt3a	6.39541882422091	4.48288610264423	3.38273197902162	55.1122029288622	124.437591684399	127.306729395058	53.519593485701	3.99462510337666	0.55392494393805	7.2114916417691	5.53422456705203e-13	1.04672311015925e-10
ENSMUSG00000025969	Nrp2	130.306658543501	208.902492383221	140.947165792567	306.048616264533	480.781604235177	486.330023804143	292.21942683719	1.21948899911429	0.171553449471769	7.10850759847278	1.1730444149468e-12	2.15339903408542e-10
ENSMUSG00000055322	Tns1	55.1604873589053	73.5193320833653	46.2306703799621	291.977415516738	209.281404196489	209.735546988981	147.65080942074	1.89277352960275	0.268142918880859	7.05882347183571	1.67918225285422e-12	2.9522862059689e-10
ENSMUSG00000068923	Syt11	445.281035636381	316.491758846682	487.113404979113	196.996810469125	117.650086683431	134.633735403407	283.027805336357	-1.2592177170353	0.179052107995397	-7.0326885906737	2.02591195706121e-12	3.41749445405339e-10
ENSMUSG00000026497	Mixl1	69.5501797134024	185.591484649471	102.609536696989	340.054018071703	2255.7141619881	2288.77350185791	873.715480496263	3.0415113516881	0.440855630234851	6.89910969282129	5.23294539618825e-12	8.26871612412886e-10
ENSMUSG00000015599	Ttbk1	175.074590313047	168.556517459423	196.198454783254	49.2492026172811	37.3312775053196	43.0461602990484	111.576033829562	-1.96682168675777	0.285411165214433	-6.89118691372874	5.53287820172041e-12	8.63336482400948e-10
ENSMUSG00000036661	Dennd3	95.9312823633137	174.832558003125	128.543815202822	226.31181202703	408.381550891527	449.694993762399	247.282668708369	1.27307302340847	0.18920116012963	6.7286745099038	1.71215569573091e-11	2.51445171174223e-09
ENSMUSG00000030717	Nupr1	282.197855618748	61.8638282164903	85.695876801881	63.3204033650758	10.1812575014508	11.9063847635666	85.8609343778687	-2.30632057999697	0.347446349992074	-6.63791857375845	3.18143517071367e-11	4.51293809500213e-09
ENSMUSG00000023868	Pde10a	122.312385013225	232.213500116971	109.375000655032	317.774616887695	470.600346733726	483.582396551012	289.30970765961	1.17498486513364	0.177249009832284	6.62900665140774	3.37953356089984e-11	4.74008061131603e-09
ENSMUSG00000060985	Tdrd5	236.630496496174	290.491019451346	251.44974377394	564.020629974101	521.50663424098	525.712681099017	398.301867505926	1.02155775008049	0.1563376916802	6.53430237520814	6.390671705762e-11	8.14028111255378e-09
ENSMUSG00000024837	Dmrt1	365.338300333619	112.072152566106	139.819588466227	93.8080049852974	41.8562808392977	38.4667815438305	131.893518122396	-1.70939125478011	0.267046197605072	-6.40110688753594	1.54254532399949e-10	1.88780326269467e-08
ENSMUSG00000027860	Vangl1	132.704940602584	254.627930630192	180.412372214486	263.835014021149	526.031637574958	580.665226161632	323.0461868675	1.06973159340383	0.167342208053485	6.39247925461779	1.63217377182341e-10	1.97809953336618e-08
ENSMUSG00000019960	Dusp6	1036.85727687682	1082.16870517832	1035.11598558062	1755.38229328738	2581.51440203453	2543.38696064803	1672.40427060095	1.03393509642768	0.167572222384744	6.17008643624584	6.82526709073587e-10	7.22032280454711e-08
ENSMUSG00000022101	Fgf17	12.7908376484418	34.966511600625	18.0412372214486	76.2190040505542	142.537605020311	137.381362656538	70.322759699653	2.21388896064924	0.371342897951542	5.96184543413065	2.49405010470446e-09	2.49065819656206e-07
ENSMUSG00000071856	Mcc	669.120694484113	848.162050620288	496.134023589838	1810.49449621624	1564.51990272294	1574.39041604392	1160.47026394622	1.11931637234206	0.19085719561249	5.86467997054029	4.49999775352437e-09	4.32103630440343e-07
ENSMUSG00000031217	Efnb1	76.7450258906509	39.4493977032692	30.4445878111946	223.966611902398	123.306340850904	154.783001926366	108.115827680797	1.68816136422215	0.289277265440533	5.83578997005275	5.35363006164907e-09	5.10147817248591e-07
ENSMUSG00000075588	Hoxb2	132.704940602584	4.48288610264423	12.4033505897459	452.62362405406	35.0687758383305	45.7937875521792	113.846227456591	2.18957671226942	0.37579116077861	5.82657853828385	5.65752485083302e-09	5.35021838734459e-07
ENSMUSG00000062393	Dgkk	119.114675601114	143.452355284615	82.3131448228594	316.602016825379	279.41895587315	312.313631105862	208.86912991883	1.20157199884167	0.206812475997629	5.80995896425248	6.24881572388687e-09	5.8649599008481e-07
ENSMUSG00000007097	Atp1a2	17.5874017666075	65.4501370986057	34.9548971165567	89.1176047360326	186.656387526598	191.418031968109	97.5307433687516	1.81822610616401	0.319233385395932	5.6956013667209	1.22937816854611e-08	1.11205273028704e-06
ENSMUSG00000030491	Tdrd12	524.424343586115	244.765581204375	297.680414153903	238.037812650192	127.831344184882	127.306729395058	260.007704195754	-1.03093471844358	0.182404760607862	-5.6519068636586	1.58677568089557e-08	1.37553616837635e-06
ENSMUSG00000044647	Csrnp3	179.871154431213	254.627930630192	146.58505242427	512.426227232187	437.794072562384	413.9758394717	324.213379458658	1.06413815507933	0.190560224009689	5.58426167165517	2.34695114753431e-08	1.95313274497806e-06
ENSMUSG00000026447	Pik3c2b	122.312385013225	138.072891961442	103.73711402333	246.246013086406	303.175223376535	326.051767371516	206.599232472076	1.11238160000088	0.20246837966934	5.49410037171018	3.92707104550584e-08	3.1626856684548e-06
ENSMUSG00000006649	Nphs1	834.602156560829	332.630148816202	252.577321100281	320.119817012327	223.987665031918	188.670404714978	358.764585539422	-1.00234876920916	0.182618904471801	-5.48874593300353	4.047973732533e-08	3.23915744251343e-06
ENSMUSG00000049090	Zadh2	95.9312823633137	98.623494258173	91.3337634335837	268.525414270414	194.57514336106	222.557807503591	161.924484198356	1.2582834728322	0.23482874426073	5.35830260811311	8.40074510303325e-08	6.24205363816453e-06
ENSMUSG00000024868	Dkk1	13.5902650014694	50.2083243496153	34.9548971165567	102.016205421511	144.8001066873	133.717859652363	79.8812763714693	1.99682287552067	0.375437636669313	5.31865396670253	1.0453773591909e-07	7.51635675942776e-06
ENSMUSG00000085795	Zfp703	126.309521778363	104.002957581346	68.7822169067729	297.840415828319	205.887651696005	252.781707288029	175.934078513139	1.18550643218437	0.222912890591562	5.31824978375316	1.04770173527231e-07	7.51635675942776e-06
ENSMUSG00000025085	Ablim1	75.9455985376233	195.453834075288	137.564433813546	170.027009035852	348.425256716316	418.555218226918	224.328558400924	1.04570008655887	0.203957607034785	5.1270462610425	2.9432321593612e-07	1.91356078360968e-05
ENSMUSG00000040629	Mael	378.129137982061	121.037924771394	172.519330930103	116.087406169306	42.9875316727923	69.6065570793123	150.061314767495	-1.374390817817	0.268757738822086	-5.11386508846479	3.15632824952982e-07	2.03095080097324e-05
ENSMUSG00000028109	Hormad1	277.401291500582	74.4159093038942	87.9510314545621	66.8382035520244	31.6750233378469	31.1397755354818	94.9035391140652	-1.62635527007706	0.320129870058418	-5.08029841070524	3.76842438704978e-07	2.36388148862022e-05
ENSMUSG00000058571	Gpc6	57.5587694179882	83.3816815091826	64.2719076014108	151.265408038792	183.262635026114	209.735546988981	124.912658097078	1.30299027816026	0.260967680316142	4.99291819041264	5.94737541532241e-07	3.58652595697921e-05
ENSMUSG00000050917	Fgf4	382.126274747199	151.521550269375	198.453609435935	123.123006543203	90.5000666795627	73.2700600834867	169.832427959794	-1.22733211469552	0.246170822407938	-4.98569287249515	6.17401537165021e-07	3.67001113734807e-05
ENSMUSG00000057880	Abat	38.3725129453255	93.2440309349999	43.9755157272811	120.77780641857	201.362648362027	217.978428748373	119.285157189429	1.35653049864701	0.273129534252214	4.96661960179802	6.81300416502921e-07	4.01163825434244e-05
ENSMUSG00000027966	Col11a1	45.567359122574	121.934501991923	98.099227391627	144.229807664895	242.08767836783	245.45470127968	149.562212636422	1.25278726961376	0.252486259376455	4.96180375402474	6.98415418016012e-07	4.05503240143901e-05
ENSMUSG00000030117	Gdf3	417.301078280414	147.935241387259	202.963918741297	200.514610656073	72.4000533436501	67.7748055772252	184.814951330987	-1.06916174116411	0.215688880360449	-4.95696272973078	7.16037054718703e-07	4.13809747872851e-05
ENSMUSG00000020717	Pecam1	458.87130063785	116.55503866875	115.012887286735	151.265408038792	57.6937925082212	68.6906813282688	161.34818474477	-1.22067616808614	0.250963566520825	-4.86395768520785	1.15061522280366e-06	6.35536717976021e-05
ENSMUSG00000037025	Foxa2	18.3868291196351	42.1391293648557	15.7860825687676	37.523201994119	194.57514336106	185.922777461847	82.3888606450474	1.75640259765933	0.361877838900278	4.85357877397775	1.21253145027833e-06	6.62666421050301e-05
ENSMUSG00000021536	Adcy2	35.174803533215	57.3809421138461	51.8685570116648	132.503807041733	133.487598352355	138.297238407581	91.4521577433991	1.5207048074817	0.314679301576922	4.83255428577964	1.34792339919871e-06	7.16005437965853e-05
ENSMUSG00000039838	Slc45a1	138.300932073777	92.3474537144711	108.247423328692	43.3862023057001	31.6750233378469	30.2238997844382	74.0301557574875	-1.61932683195698	0.337648881689818	-4.79588981267403	1.61954291608096e-06	8.38869469769239e-05
ENSMUSG00000060499	Rpl10l	310.177812974714	145.245509725673	175.902062909124	158.301008412689	62.2187958421993	54.0366693115714	150.980309862662	-1.16095038551609	0.242371223317452	-4.78996792451514	1.66807975547989e-06	8.56898748463187e-05
ENSMUSG00000030862	Cpxm2	19.9856838256903	29.5870482774519	24.8067011794919	77.3916041128704	90.5000666795627	108.989214374186	58.5433864082089	1.83779657138395	0.388502667229511	4.73046062846786	2.24010970090175e-06	0.000111407527475524
ENSMUSG00000039329	Tex19.1	411.705086809221	147.038664166731	197.326032109594	141.884607540262	75.7938058441337	93.4193266064455	177.861253846065	-1.13209526531052	0.242067126040474	-4.67678236127458	2.91411249440635e-06	0.000141544226722469
ENSMUSG00000024697	Gna14	69.5501797134024	113.865307007163	76.6752581911567	131.331206979416	282.812708373633	254.613458790116	154.808019842481	1.10866938096496	0.23736203053465	4.67079498126857	3.00036283372761e-06	0.000144052035590084
ENSMUSG00000040387	Klhl32	21.5845385317456	24.2075849542788	32.6997424638757	63.3204033650758	84.84381251209	126.390853644014	58.8411559118467	1.88129351691851	0.408130837850292	4.60953533143358	4.0356994795244e-06	0.000186583839270011
ENSMUSG00000025726	Slc28a1	163.083180017633	80.6919498475961	112.757732634054	37.523201994119	31.6750233378469	38.4667815438305	77.3663115625133	-1.59663255544466	0.35256910363886	-4.52856628378903	5.9385252858915e-06	0.000261023278675295
ENSMUSG00000005125	Ndrg1	53.5616326528501	69.9330232012499	43.9755157272811	80.909404299819	276.025203372666	254.613458790116	129.83637300733	1.37319713106683	0.303459922932861	4.52513504187058	6.0356953398038e-06	0.000263439108135562
