Distance,Fluorescence,Marker,Condition,Time,Replicate
256.832,49.4921,Hoxd4,0,117h,1
257.59,49.4757,Hoxd4,0,117h,1
258.347,49.6261,Hoxd4,0,117h,1
259.105,50.0121,Hoxd4,0,117h,1
259.863,51.1756,Hoxd4,0,117h,1
260.62,52.7373,Hoxd4,0,117h,1
261.378,52.6194,Hoxd4,0,117h,1
262.135,52.4177,Hoxd4,0,117h,1
262.893,52.3965,Hoxd4,0,117h,1
263.651,52.2445,Hoxd4,0,117h,1
264.408,52.919,Hoxd4,0,117h,1
265.166,54.2095,Hoxd4,0,117h,1
265.924,55.7024,Hoxd4,0,117h,1
266.681,57.0171,Hoxd4,0,117h,1
267.439,58.499,Hoxd4,0,117h,1
268.196,60.5146,Hoxd4,0,117h,1
268.954,61.3766,Hoxd4,0,117h,1
269.712,61.3946,Hoxd4,0,117h,1
270.469,61.6908,Hoxd4,0,117h,1
271.227,62.9865,Hoxd4,0,117h,1
271.985,64.4238,Hoxd4,0,117h,1
272.742,65.833,Hoxd4,0,117h,1
273.5,65.4935,Hoxd4,0,117h,1
274.257,64.0086,Hoxd4,0,117h,1
275.015,62.7992,Hoxd4,0,117h,1
275.773,63.7246,Hoxd4,0,117h,1
276.53,65.6931,Hoxd4,0,117h,1
277.288,67.3289,Hoxd4,0,117h,1
278.045,68.1428,Hoxd4,0,117h,1
278.803,69.6145,Hoxd4,0,117h,1
279.561,70.4867,Hoxd4,0,117h,1
280.318,70.5568,Hoxd4,0,117h,1
281.076,69.0916,Hoxd4,0,117h,1
281.834,68.5911,Hoxd4,0,117h,1
282.591,68.2421,Hoxd4,0,117h,1
283.349,68.635,Hoxd4,0,117h,1
284.106,69.8524,Hoxd4,0,117h,1
284.864,70.8952,Hoxd4,0,117h,1
285.622,71.1623,Hoxd4,0,117h,1
286.379,71.0079,Hoxd4,0,117h,1
287.137,70.2859,Hoxd4,0,117h,1
287.894,70.2469,Hoxd4,0,117h,1
288.652,71.0852,Hoxd4,0,117h,1
289.41,71.6656,Hoxd4,0,117h,1
290.167,73.0752,Hoxd4,0,117h,1
290.925,73.4803,Hoxd4,0,117h,1
291.683,73.6113,Hoxd4,0,117h,1
292.44,74.2602,Hoxd4,0,117h,1
293.198,75.5737,Hoxd4,0,117h,1
293.955,76.068,Hoxd4,0,117h,1
294.713,75.1691,Hoxd4,0,117h,1
295.471,74.0333,Hoxd4,0,117h,1
296.228,74.1173,Hoxd4,0,117h,1
296.986,74.8506,Hoxd4,0,117h,1
297.743,75.3643,Hoxd4,0,117h,1
298.501,73.8293,Hoxd4,0,117h,1
299.259,71.9976,Hoxd4,0,117h,1
300.016,70.6576,Hoxd4,0,117h,1
300.774,70.3339,Hoxd4,0,117h,1
301.532,70.1396,Hoxd4,0,117h,1
302.289,69.4528,Hoxd4,0,117h,1
303.047,69.323,Hoxd4,0,117h,1
303.804,70.6002,Hoxd4,0,117h,1
304.562,72.451,Hoxd4,0,117h,1
305.32,73.1777,Hoxd4,0,117h,1
306.077,73.61,Hoxd4,0,117h,1
306.835,72.858,Hoxd4,0,117h,1
307.592,71.1669,Hoxd4,0,117h,1
308.35,70.7534,Hoxd4,0,117h,1
309.108,70.5342,Hoxd4,0,117h,1
309.865,71.3485,Hoxd4,0,117h,1
310.623,71.7598,Hoxd4,0,117h,1
311.381,70.6252,Hoxd4,0,117h,1
312.138,70.0612,Hoxd4,0,117h,1
312.896,69.5601,Hoxd4,0,117h,1
313.653,68.7506,Hoxd4,0,117h,1
314.411,68.7492,Hoxd4,0,117h,1
315.169,69.5328,Hoxd4,0,117h,1
315.926,70.6995,Hoxd4,0,117h,1
316.684,70.48,Hoxd4,0,117h,1
317.442,69.9492,Hoxd4,0,117h,1
318.199,68.8134,Hoxd4,0,117h,1
318.957,67.8321,Hoxd4,0,117h,1
319.714,68.1091,Hoxd4,0,117h,1
320.472,68.0705,Hoxd4,0,117h,1
