gene_id	gene_short_name	96h_Snai1KO_Clone2_rep1	96h_Snai1KO_Clone2_rep2	96h_WT_rep4	96h_WT_rep5	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000029330	Cds1	321.104545960631	312.628551793571	92.4921918886243	56.3623641052127	195.64691343701	2.0981380324576	0.22830434589014	9.19009239301658	3.92504085656691e-20	1.09613566732996e-18
ENSMUSG00000022485	Hoxc5	194.808927626501	181.994478365543	509.251127104425	484.518568623758	342.643275430057	-1.39575211988307	0.152334510162414	-9.16241578086915	5.07482874184754e-20	1.40609645866947e-18
ENSMUSG00000006586	Runx1t1	160.965003759185	165.246520233744	19.5865818117087	11.8657608642553	89.4159666672234	3.38588106574808	0.369662554547688	9.15938340006058	5.219468999907e-20	1.44051215862404e-18
ENSMUSG00000026893	Gca	255.893082899217	244.520188724257	56.5834585671584	51.4182970784397	152.103756817268	2.21477382023251	0.24181517334959	9.158953053085	5.24032342936714e-20	1.4434429946165e-18
ENSMUSG00000071658	Gng3	326.057315307067	303.696307456611	88.139618152689	84.0491394551418	200.485595092877	1.87309872509269	0.205149786406727	9.13039568746668	6.82493826647819e-20	1.86897290042994e-18
ENSMUSG00000030110	Ret	107.310002506123	112.769584754109	350.382185742788	357.950452738368	232.103056435347	-1.68897342100475	0.1861739615818	-9.07201741132126	1.16833427536354e-19	3.17476267542427e-18
ENSMUSG00000042190	Cmklr1	40.4476163292311	43.5446911426759	207.835395890909	227.42708323156	129.813696648594	-2.37850337612363	0.263440352574728	-9.02862205002912	1.73846984429798e-19	4.69686594140505e-18
ENSMUSG00000044250	Pced1b	730.533478599379	668.801794729817	314.473452421323	321.364356740248	508.793270622691	1.13968625727009	0.126445239985532	9.0132792456284	1.99985237158242e-19	5.36196159627886e-18
ENSMUSG00000038884	Shfl	185.728850491367	158.547336981025	21.7628686796763	21.7538949178014	96.9482377674675	2.98689722621974	0.333333125762223	8.96069725860486	3.22631728464442e-19	8.55277305739479e-18
ENSMUSG00000055489	Ano5	163.441388432403	128.401012343788	11.969577773822	5.93288043212765	77.4362147455352	4.04879731326482	0.452751563399161	8.94264678594884	3.79958643415393e-19	9.9973073658345e-18
ENSMUSG00000036523	Greb1	2449.96990337057	2911.91165384869	5801.9807900017	6167.2292091967	4332.77288910441	-1.15938826353321	0.129691812210902	-8.93956406166826	3.90708605126769e-19	1.02610120262622e-17
ENSMUSG00000028360	Slc44a5	444.923779621543	452.194869558557	161.045228229605	170.075905720993	307.059945782674	1.43676394265943	0.161091302189413	8.91894176241789	4.70764831511198e-19	1.23405137895956e-17
ENSMUSG00000026676	Ccdc3	349.99570048151	407.533647873762	119.69577773822	121.624048858617	249.712293738027	1.64697454908438	0.185156515826343	8.89503964650677	5.83984463523808e-19	1.50565500714374e-17
ENSMUSG00000024339	Tap2	162.615926874664	122.818359633188	9.79329090585433	9.88813405354609	76.2789278668132	3.86274941622853	0.43825316939332	8.81396801208715	1.2079253541168e-18	3.08053730001974e-17
ENSMUSG00000049556	Lingo1	112.26277185256	96.0216266223109	347.117755440837	332.241304199149	221.910864528714	-1.69788715315126	0.192845295159172	-8.80440018902115	1.3155420638892e-18	3.34893316372373e-17
ENSMUSG00000055817	Mta3	752.820940658343	741.37627996761	350.382185742788	371.793840413333	554.093311695519	1.04853345063366	0.119367935206403	8.78404614120708	1.57696955387205e-18	3.985719694443e-17
ENSMUSG00000045103	Dmd	435.01824092867	426.5146670898	163.221515097572	155.243704640674	294.999531939179	1.43696124884562	0.164218075666434	8.75032326992089	2.12742430273531e-18	5.32914119742026e-17
ENSMUSG00000036040	Adamtsl2	42.09853944471	45.7777522269157	198.042104985054	236.326403879752	130.561200134108	-2.31126915971114	0.26452359859818	-8.73747813790344	2.38371803078263e-18	5.96056301207932e-17
ENSMUSG00000035835	Plppr3	146.106695719876	155.197745354665	394.996066536125	442.988405598865	284.822228302383	-1.47919569538722	0.169416263479497	-8.73113162223784	2.52137044222077e-18	6.29360837993619e-17
ENSMUSG00000026768	Itga8	68.5133092923711	73.691015779913	282.917292835792	259.069112202908	171.047682527746	-1.93344637233974	0.221503146874494	-8.72875351714642	2.57494709547725e-18	6.41598566917237e-17
ENSMUSG00000033355	Rtp4	176.648773356234	119.468768006829	5.44071716991907	2.96644021606383	76.1311746872614	5.16183256962342	0.591761203267348	8.72283032602153	2.71332704734334e-18	6.72514083456645e-17
