gene	AverageSnai1log2FC	ConcordentSnai1log2FCSign	MaxpValueSnai1	Clone1	Clone2
Stk32b	-2.46368706350001	TRUE	2.17129739493169e-05	-2.95822489671673	-1.96914923028329
Shisa3	-2.80292109773846	TRUE	3.90056658600555e-09	-2.76951340035055	-2.83632879512636
Pdgfra	-3.26346739765529	TRUE	5.37933644327096e-132	-3.74962193794354	-2.77731285736705
Ppef2	-2.88961539989598	TRUE	3.98733519819045e-08	-3.25022508797473	-2.52900571181722
Naaa	-2.15262590930679	TRUE	5.88474258298907e-56	-2.40098378796628	-1.90426803064731
Fgf5	2.54981211691566	TRUE	9.06771601204231e-08	2.67368346432819	2.42594076950314
Gpat3	-4.02426832108849	TRUE	2.7219351099275e-19	-4.43260932060419	-3.61592732157279
Cds1	2.01335499804489	TRUE	9.52160273169047e-15	1.92857196363218	2.0981380324576
Gbp9	3.75006606702925	TRUE	2.20655347031552e-13	3.17323200255528	4.32690013150322
Gbp4	4.19942539987315	TRUE	2.04804277906345e-06	3.75780979674224	4.64104100300407
Cmklr1	-2.9071577320767	TRUE	4.69686594140505e-18	-3.43581208802978	-2.37850337612363
Oasl2	5.62308074779945	TRUE	7.08575591055454e-27	4.85824211699878	6.38791937860012
Vsig10	2.27151340629745	TRUE	3.36642844575767e-12	2.2089819491503	2.3340448634446
Oas1a	3.39727484213429	TRUE	2.99809286022588e-10	2.80953210064388	3.9850175836247
Adgrd1	-4.83756009072787	TRUE	1.47497267653201e-09	-5.25564319515299	-4.41947698630274
Cldn4	2.52512436544301	TRUE	8.27890292496301e-64	2.3080577961931	2.74219093469292
Cldn3	3.26657371275928	TRUE	1.4276246123046e-47	3.237811568686	3.29533585683256
Hspb1	2.56477596262717	TRUE	2.1753366958401e-11	2.24920004453401	2.88035188072033
Lfng	-2.21426842697037	TRUE	2.21315513504787e-69	-2.10062024465514	-2.3279166092856
Samd9l	3.01886840133057	TRUE	7.91274633233534e-08	3.07566075935435	2.96207604330678
Thsd7a	3.86713770490545	TRUE	3.10175195547849e-05	4.04054416183575	3.69373124797516
Parp12	3.32419399021013	TRUE	2.27322978938895e-42	2.81107085953415	3.83731712088611
Hoxa9	-2.29464031633955	TRUE	3.43987717956116e-06	-2.62258165487127	-1.96669897780784
Tril	-2.85310846698946	TRUE	5.15465877425123e-84	-2.92777010576906	-2.77844682820986
Ndnf	2.16703392558883	TRUE	4.45569417302672e-12	2.39069971105814	1.94336814011952
Slc4a5	2.57315529140134	TRUE	3.01153036339868e-114	2.40764558989896	2.73866499290372
Bhlhe40	2.75820915928119	TRUE	9.44268702628467e-21	2.5186721052531	2.99774621330928
Oxtr	-2.36618000095331	TRUE	1.107040402405e-05	-2.81791669628625	-1.91444330562038
Usp18	3.80239469022591	TRUE	1.9967599584409e-10	3.04744204021376	4.55734734023806
Nanog	2.89529019809365	TRUE	2.21260854023104e-23	2.64631481209887	3.14426558408842
Emp1	-3.86057806090168	TRUE	5.85885216679646e-07	-4.34582235557471	-3.37533376622866
Prkcg	2.31226633228075	TRUE	2.00402589246034e-07	2.34861468097737	2.27591798358413
