"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Snhg4.4",1.09997693895271e-10,-0.591849747685815,0.245,0.611,3.63124387087068e-06,"Endothelial","Snhg4"
"Nkx1-2.13",1.11439884841332e-10,-0.558669281892609,0,0.289,3.67885347838206e-06,"Endothelial","Nkx1-2"
"Trim71.1",1.12339579677048e-10,-0.572863502711743,0.327,0.717,3.70855420429871e-06,"Endothelial","Trim71"
"Ptprf.1",1.15593460797928e-10,-0.510562845151361,0.236,0.596,3.81597132786119e-06,"Endothelial","Ptprf"
"Cbx5",1.18622307918544e-10,-0.596810056827438,0.627,0.93,3.91595962900697e-06,"Endothelial","Cbx5"
"Sp5.15",1.22732419339648e-10,-0.70695986761894,0.018,0.339,4.05164262724047e-06,"Endothelial","Sp5"
"Impact",1.22767082633276e-10,-0.539231078592503,0.345,0.727,4.05278693188972e-06,"Endothelial","Impact"
"Mcm4",1.27725413442905e-10,-0.578815024859771,0.318,0.701,4.21647134857719e-06,"Endothelial","Mcm4"
"Gar1.1",1.32722533195346e-10,-0.55179549129432,0.509,0.806,4.38143626584477e-06,"Endothelial","Gar1"
"Cited1.10",1.33821166207058e-10,-0.954329220895972,0.036,0.365,4.4177043388274e-06,"Endothelial","Cited1"
"Litaf",1.50618045985262e-10,0.646020003732703,0.518,0.285,4.97220293406547e-06,"Endothelial","Litaf"
"Gnl3.1",1.53919434938398e-10,-0.525046136663746,0.518,0.819,5.08118838618638e-06,"Endothelial","Gnl3"
"Txnrd1",1.62072115425719e-10,-0.565091448886063,0.473,0.789,5.35032467443385e-06,"Endothelial","Txnrd1"
"Grsf1.5",1.7630891549225e-10,-0.721262299537588,0.364,0.684,5.82030991823016e-06,"Endothelial","Grsf1"
"Myo18a",1.77448360255661e-10,0.716697731286855,0.4,0.119,5.85792526875989e-06,"Endothelial","Myo18a"
"Txnip",2.12775036486656e-10,1.00808382165226,0.536,0.278,7.0241295044975e-06,"Endothelial","Txnip"
"Rpl37rt",2.65315107391356e-10,-0.504707280197755,0.5,0.835,8.75858232520344e-06,"Endothelial","Rpl37rt"
"Rfc4",2.98852561123906e-10,-0.551259849123918,0.364,0.782,9.86572074782238e-06,"Endothelial","Rfc4"
"Pmm1.7",3.31607661458342e-10,-0.556028627601301,0.227,0.545,1.09470321200628e-05,"Endothelial","Pmm1"
"Prkar2a.5",3.56580481183799e-10,-0.563404140237193,0.182,0.557,1.17714348448396e-05,"Endothelial","Prkar2a"
"Pnn",3.8721949103681e-10,-0.516417357938657,0.636,0.916,1.27828898381072e-05,"Endothelial","Pnn"
"Crem",3.98846330464068e-10,0.550371192834651,0.364,0.127,1.31667150612798e-05,"Endothelial","Crem"
"Igf2bp3",4.02359796353382e-10,-0.555178673307066,0.445,0.796,1.32827015972179e-05,"Endothelial","Igf2bp3"
"Hotairm1.7",4.07785018140697e-10,-0.669005186492363,0.191,0.539,1.34617990188607e-05,"Endothelial","Hotairm1"
"Ezr.6",4.29691824774638e-10,-0.539212118996324,0.109,0.467,1.41849865194603e-05,"Endothelial","Ezr"
"Polr3k",4.51124006482758e-10,-0.500032620589924,0.391,0.728,1.48925057020088e-05,"Endothelial","Polr3k"
"Rps10-ps1",4.84885306488094e-10,-0.53657717590909,0.527,0.821,1.6007033737785e-05,"Endothelial","Rps10-ps1"
"Rhog",5.67277074208382e-10,0.54652866045505,0.436,0.193,1.87269507737671e-05,"Endothelial","Rhog"
"Sfrp2.7",5.9993099313224e-10,-0.535998019422401,0.091,0.409,1.98049219452815e-05,"Endothelial","Sfrp2"
"Gm10073.2",6.03414687194672e-10,-0.517726497548417,0.155,0.509,1.99199256536705e-05,"Endothelial","Gm10073"
"Tceal8",6.10740733628229e-10,-0.554134208105335,0.645,0.903,2.01617730985351e-05,"Endothelial","Tceal8"
"Snx9",6.32351333305719e-10,0.582753675634688,0.455,0.196,2.08751822150884e-05,"Endothelial","Snx9"
"Arid1a.1",6.67722968988312e-10,-0.53921456029484,0.509,0.836,2.20428706522422e-05,"Endothelial","Arid1a"
"Elovl1",8.25878425301408e-10,0.502828861123966,0.445,0.209,2.72638985760501e-05,"Endothelial","Elovl1"
"Wdr77",9.85750700833237e-10,-0.531836181315328,0.273,0.682,3.25416021359068e-05,"Endothelial","Wdr77"
"Hoxb3.8",9.89884881656263e-10,-0.528020742179412,0.164,0.457,3.26780797132366e-05,"Endothelial","Hoxb3"
"Smc2",1.04758893424457e-09,-0.518410414476132,0.491,0.842,3.45830058972816e-05,"Endothelial","Smc2"
"Svil",1.09094487243953e-09,0.594910638363153,0.364,0.104,3.60142721289739e-05,"Endothelial","Svil"
